Name,Value,Timestamp,Step
"Rouge_1 Low Precision",0.23647975827999754,1629047096212,1
"Rouge_1 Low recall",0.22831287096027664,1629047096212,1
"Rouge_1 Low F1",0.23418947217828084,1629047096212,1
"Rouge_1 Mid Precision",0.3560591060428998,1629047096212,1
"Rouge_1 Mid recall",0.3127238747956226,1629047096212,1
"Rouge_1 Mid F1",0.32913914058036986,1629047096212,1
"Rouge_1 High Precision",0.47201228644792464,1629047096212,1
"Rouge_1 High recall",0.3972251342872619,1629047096212,1
"Rouge_1 High F1",0.42882258560945286,1629047096212,1
"Rouge_2 Low Precision",0.06184772400193972,1629047096212,1
"Rouge_2 Low recall",0.05546222700639858,1629047096212,1
"Rouge_2 Low F1",0.05751992748351973,1629047096212,1
"Rouge_2 Mid Precision",0.1367034298993256,1629047096212,1
"Rouge_2 Mid recall",0.11630414726089211,1629047096212,1
"Rouge_2 Mid F1",0.12395501575993619,1629047096212,1
"Rouge_2 High Precision",0.22739029631016827,1629047096212,1
"Rouge_2 High recall",0.18541872125083267,1629047096212,1
"Rouge_2 High F1",0.2017332889523576,1629047096212,1
"Rouge_L Low Precision",0.17657404838838545,1629047096212,1
"Rouge_L Low recall",0.1730824748047936,1629047096212,1
"Rouge_L Low F1",0.17073717686838885,1629047096212,1
"Rouge_L Mid Precision",0.25587629049009775,1629047096212,1
"Rouge_L Mid recall",0.22749719316874228,1629047096212,1
"Rouge_L Mid F1",0.23669721679498185,1629047096212,1
"Rouge_L High Precision",0.3527312699546978,1629047096212,1
"Rouge_L High recall",0.2946306224842409,1629047096212,1
"Rouge_L High F1",0.3163820193302396,1629047096212,1
"rougeLsum Low Precision",0.2085868171757611,1629047096212,1
"rougeLsum Low recall",0.20289459133800977,1629047096212,1
"rougeLsum Low F1",0.20387245278320992,1629047096212,1
"rougeLsum Mid Precision",0.30344871037135057,1629047096212,1
"rougeLsum Mid recall",0.2675052788335701,1629047096212,1
"rougeLsum Mid F1",0.2807970688894797,1629047096212,1
"rougeLsum High Precision",0.4069305916918395,1629047096212,1
"rougeLsum High recall",0.3338834625041223,1629047096212,1
"rougeLsum High F1",0.3615219242022333,1629047096212,1
